"track_name","artist_name","youtube_url"
"A Fall and Rebirth","re:plus","https://youtube.com/watch?v=WndOOv-Mzz4"
"Amélie - Comptine d’un autre été, l’après-midi (reimagined)","Andrea Vanzo","https://youtube.com/watch?v=e6Po2lDHD1I"
"Another Approach","Guy Skornik","https://youtube.com/watch?v=cSqdLyyehIM"
"Bassifondi","Marco Messina","https://youtube.com/watch?v=zOIR-i66Iy8"
"Blind Dance","Sophie Hutchings","https://youtube.com/watch?v=w9xAgWt0Nyw"
"Chronon","Lotte Pen","https://youtube.com/watch?v=7dbVtKTxuHs"
"Devenons Demain II","Les Fragments De La Nuit","https://youtube.com/watch?v=AMrBB1BK6Pg"
"Distant Memory","Silent Poets","https://youtube.com/watch?v=7lKPfyn0T5o"
"Floating","rocomoco","https://youtube.com/watch?v=OlSXSrdPBMY"
"Free Movement","Vincent Leibovitz","https://open.spotify.com/track/2aP1HD5SoyEzv4bTmKNugE"
"Ghost Pong","Emancipator","https://youtube.com/watch?v=57jDG_LlBZI"
"Gone (The Kruder & Dorfmeister Session)","David Holmes","https://youtube.com/watch?v=E46Pq1NChmM"
"Hanabi (Inst.)","Sharman Rock","https://youtube.com/watch?v=LZYdSiYDxPo"
"In This Light","L'Homme Moyen","https://youtube.com/watch?v=ugnn_N4aSnM"
"Memory I","Sophie Hutchings","https://youtube.com/watch?v=sW1O4Q_POfs"
"October","KOSIKK","https://youtube.com/watch?v=RfbuVdT6Wqk"
"Purity","Painless Destiny","https://youtube.com/watch?v=ZR4hOy5fBUI"
"Spring II","Rat & Co","https://youtube.com/watch?v=kNUlkhpN5II"
"The Right to Destroy Myself","OKADA","https://youtube.com/watch?v=j621vrq6KVk"
"Track in Time","Dennis Kuo","https://youtube.com/watch?v=7n63UFIyQgo"
"White Avenue","re:plus","https://youtube.com/watch?v=iVNqvxl2xyo"