"mv_name","youtube_url"
"The Knocks - Slow Song (with Dragonette)","https://www.youtube.com/watch?v=GuhUpKb6DMg"
"Agnes Obel - Dorian","https://www.youtube.com/watch?v=HJzp2SRs0Ak"
"Anoraak - Figure","https://www.youtube.com/watch?v=LT87Mohi8DA"
"Ariana Grande - positions","https://www.youtube.com/watch?v=tcYodQoapMg"
"Art School Girlfriend - Out There [Live from The Church Studios]","https://www.youtube.com/watch?v=GFmgEuPGMDw"
"BRADD - When the Lightning Strikes","https://www.youtube.com/watch?v=XBOCX-9ebFc"
"Cannons - Hurricane","https://www.youtube.com/watch?v=LZ2kSbSrDLs"
"Carys Selvey - Shallow","https://www.youtube.com/watch?v=4Bc7dE9W4Pw"
"FLETCHER, Kito - Bitter (feat. Trevor Daniel)","https://www.youtube.com/watch?v=VDriZp6dTic"
"Friday Night Plans - Plastic Love [Live at Studio Tanta]","https://www.youtube.com/watch?v=HpN4bdyqHeI"
"Ghostly Kisses - On & Off (Acoustic) [Home Studio Session]","https://www.youtube.com/watch?v=Kl3tw7w12V0"
"Glass Animals - Black Mambo","https://www.youtube.com/watch?v=H7bqZIpC3Pg"
"Haelos - Dust","https://www.youtube.com/watch?v=uXTFP4wcjdA"
"HALSEY - Without Me (Sam Tsui, Shannon K, KHS Cover)","https://www.youtube.com/watch?v=4qXjUC42YWE"
"Oh Wonder - Without You [Live at The Pool, London]","https://www.youtube.com/watch?v=zrCJ81LZ0cg"
"HYBS - Tip Toe","https://www.youtube.com/watch?v=dHUq9xJcaZs"
"Iniko - Jericho","https://www.youtube.com/watch?v=C8BP8K-ZuL0"
"Joshua Burnside - And You Evade Him_Born in the Blood","https://www.youtube.com/watch?v=qlsgL9K8ItM"
"KDA - POP STARS (feat. Madison Beer, (G)I-DLE, Jaira Burns) [Music Video - League of Legends]","https://www.youtube.com/watch?v=UOxkGD8qRB4"
"Men I Trust - Tailwhip","https://www.youtube.com/watch?v=9IZKcb3LndA"
"Niia - Last Night in Los Feliz [Live Orchestral Version]","https://www.youtube.com/watch?v=wC_zpBS9Z-U"
"Oh Wonder - Without You","https://www.youtube.com/watch?v=zLAhRiUeJ8E"
"Saro - Please","https://www.youtube.com/watch?v=iCSY9K4qKZg"
"Tesla Boy â€“ Compromise","https://www.youtube.com/watch?v=iMXUmm_xBR0"
"Two Feet - Play The Part","https://www.youtube.com/watch?v=xtpKOMuN-qE"
"Zero 7 - Swimmers [Live Session]","https://www.youtube.com/watch?v=f7R_thZqbQw"